no,id,parent_id,theme,confidence,status,headline_hi,headline_en,question_hi,question_en,rti_ref,permalink,sources
60,80,,governance,A,verified,"बनाओ, फिर हटाओ. खर्च किसका?","Passed, then withdrawn. At whose cost?","चारधाम देवस्थानम कानून दिसंबर 2019 में बना और नवंबर 2021 में वापस ले लिया गया. समान नागरिक संहिता जनवरी 2025 में लागू हुई और जनवरी 2026 तक उसमें संशोधन अध्यादेश लाना पड़ा. दोनों बार कानून पहले बना, सवाल बाद में उठे. विधेयक पास करने से पहले सार्वजनिक परामर्श की प्रक्रिया क्या है, और पिछले नौ साल में कितने विधेयकों पर वह प्रक्रिया पूरी हुई?","The Char Dham Devasthanam Act was passed in December 2019 and repealed in November 2021. The Uniform Civil Code came into force in January 2025 and required an amendment ordinance by January 2026. In both cases the law came first and the questions came after. What is the public consultation process before a bill is passed, and on how many bills in the last nine years was it actually completed?",,https://70sawal.github.io/q/80/,"ThePrint: Vindicated, say Uttarakhand priests as state govt decides to repeal Char Dham Board Act <https://theprint.in/india/vindicated-say-uttarakhand-priests-as-state-govt-decides-to-repeal-char-dham-board-act/774441/>"
61,81,,rozgaar,A,verified,एक लाख से ज़्यादा अभ्यर्थी. 416 पद. और पेपर लीक.,Over one lakh candidates. 416 posts. And the paper leaked.,"21 सितंबर 2025 को हुई UKSSSC की स्नातक स्तर की परीक्षा में एक लाख से ज़्यादा अभ्यर्थी बैठे थे. पद थे 416. हरिद्वार के एक केंद्र से प्रश्नपत्र के तीन पन्ने लीक होने के बाद अक्टूबर 2025 में परीक्षा रद्द कर दी गई. एक लाख लोगों की तैयारी, फ़ीस और यात्रा का हिसाब कौन देगा?","More than one lakh candidates sat the UKSSSC graduate-level examination on 21 September 2025. There were 416 posts. After three pages of the question paper leaked from a centre in Haridwar, the exam was cancelled in October 2025. Who accounts for the preparation, fees and travel of one lakh people?",RTI-02,https://70sawal.github.io/q/81/,Careers360: UKSSSC paper leak: Uttarakhand government cancels graduate level examination <https://news.careers360.com/uksssc-paper-leak-uttarakhand-government-cancels-graduate-level-examination-to-be-held-within-3-months>
62,82,,paper-leak,B,verified,अकेले 2021 में तीन भर्ती परीक्षाएँ रद्द हुईं,Three recruitment exams were cancelled in 2021 alone,"अकेले 2021 में तीन भर्ती परीक्षाएँ रद्द करनी पड़ीं: मई की स्नातक स्तर की परीक्षा, जुलाई की वन आरक्षी परीक्षा और सितंबर की सचिवालय रक्षक परीक्षा. तीनों में पेपर लीक और नकल की बात सामने आई. यानी 2022 का मामला अचानक नहीं आया. उससे पहले क्या कार्रवाई हुई थी?","Three recruitment exams had to be cancelled in 2021 alone: the graduate-level test in May, the forest guard test in July and the secretariat security guard test in September. Leaks and unfair means surfaced in all three. So the 2022 scandal did not come out of nowhere. What action was taken before it?",RTI-02,https://70sawal.github.io/q/82/,Deccan Herald: Three government recruitment exams cancelled in Uttarakhand <https://www.deccanherald.com/amp/story/india/three-government-recruitment-exams-cancelled-in-uttarakhand-1176788.html>
63,84,,governance,B,verified,अपने ही आरक्षण नियम अधिसूचित न होने से चुनाव रुके,Elections were stayed because the state's own reservation rules were not notified,"जून 2025 में उच्च न्यायालय ने पंचायत चुनाव पर रोक लगा दी क्योंकि आरक्षण के नियम विधिवत अधिसूचित नहीं किए गए थे. चुनाव 10 और 15 जुलाई को होने थे. राज्य के जवाब के बाद रोक हटी और चुनाव 24 व 28 जुलाई को हुए. सवाल यह है कि अपने ही नियम समय पर अधिसूचित क्यों नहीं हुए, और इस देरी पर कितना ख़र्च आया?","In June 2025 the High Court stayed the panchayat elections because the reservation rules had not been duly notified. The polls had been set for 10 and 15 July. After the state's submissions the stay was vacated and voting took place on 24 and 28 July. Why were the state's own rules not notified in time, and what did the delay cost?",,https://70sawal.github.io/q/84/,ANI: Uttarakhand High Court stays panchayat elections over reservation disputes <https://aninews.in/news/national/general-news/uttarakhand-high-court-stays-panchayat-elections-over-reservation-disputes20250623115947/> | Deccan Herald: Reservation row: Uttarakhand High Court stays panchayat polls in state <https://www.deccanherald.com/india/uttarakhand/reservation-row-uttarakhand-high-court-stays-panchayat-polls-in-state-3598427>
64,85,,environment,B,verified,2024 में जंगली जानवरों के हमलों में 64 मौतें,64 deaths from wildlife attacks in 2024,"वन विभाग के आँकड़ों के मुताबिक 2024 में उत्तराखंड में मानव-वन्यजीव संघर्ष की 406 घटनाएँ हुईं, जिनमें 342 लोग घायल हुए और 64 की मौत हुई. रिपोर्टों के अनुसार 2000 में यह औसत लगभग 30 मौतें सालाना था. यानी चौबीस साल में यह संख्या दोगुनी हो गई. सवाल: इन चौबीस सालों में रोकथाम पर कितना पैसा ख़र्च हुआ, और मौतें फिर भी क्यों बढ़ीं?","Forest department figures record 406 human-wildlife conflict incidents in Uttarakhand in 2024, with 342 people injured and 64 killed. Reports put the average around 30 deaths a year in 2000. The number has doubled in twenty-four years. How much was spent on prevention over that period, and why did the deaths still rise?",RTI-13,https://70sawal.github.io/q/85/,"Garhwal Post: Significant increase in human-wildlife conflicts in 2024, 64 deaths this year <https://garhwalpost.in/significant-increase-in-human-wildlife-conflicts-in-2024-64-deaths-this-year/> | Mongabay India: Despite efforts and funds, human-wildlife conflict in Uttarakhand is not contained <https://india.mongabay.com/2023/02/despite-efforts-and-funds-human-wildlife-conflict-in-uttarakhand-is-not-contained/>"
64.1,86,85,environment,B,verified,मुआवज़ा ₹4 लाख से ₹6 लाख हुआ. मौतें नहीं रुकीं.,Compensation rose from Rs 4 lakh to Rs 6 lakh. The deaths did not stop.,"राज्य वन्यजीव बोर्ड की बैठक में जंगली जानवर के हमले में मारे गए व्यक्ति के परिवार को दिया जाने वाला मुआवज़ा 4 लाख से बढ़ाकर 6 लाख रुपये किया गया. मुआवज़ा बढ़ाना ज़रूरी है, पर वह घटना के बाद की बात है. रोकथाम के लिए क्या तय हुआ, और उसका बजट कितना है?","The State Wildlife Board raised the compensation paid to the family of a person killed by a wild animal from Rs 4 lakh to Rs 6 lakh. Raising compensation matters, but it is what happens after the event. What was decided on prevention, and what is its budget?",,https://70sawal.github.io/q/85/,"Garhwal Post: Significant increase in human-wildlife conflicts in 2024, 64 deaths this year <https://garhwalpost.in/significant-increase-in-human-wildlife-conflicts-in-2024-64-deaths-this-year/>"
65,87,,governance,B,verified,नल लग गया. पानी आता है या नहीं?,The tap is installed. Does water come out of it?,"जल जीवन मिशन के तहत घर-घर नल लगाने का काम हुआ. 2022 के राष्ट्रीय कार्यक्षमता आकलन में पाया गया कि 98% घरों में नल कनेक्शन था, पर चार में से केवल तीन घरों को मिशन के मानकों के मुताबिक पानी मिल रहा था. यह राष्ट्रीय आँकड़ा है. सवाल: उत्तराखंड के पहाड़ी ज़िलों में कितने कनेक्शन वास्तव में चालू हैं, और आख़िरी जाँच कब हुई?","Under the Jal Jeevan Mission, tap connections were installed household by household. The 2022 national functionality assessment found 98% of households had a connection but only three in four were receiving water meeting Mission standards. That is a national figure. How many connections in Uttarakhand's hill districts are actually functional, and when were they last checked?",,https://70sawal.github.io/q/87/,"Jal Jeevan Mission, Government of India: National report: functionality assessment of household tap connections, 2022 <https://jaljeevanmission.gov.in/sites/default/files/2022-10/national_report_of_functionality_assessment_2022.pdf> | India Water Portal: From infrastructure to impact: securing Jal Jeevan Mission's future <https://www.indiawaterportal.org/drinking-water/from-infrastructure-to-impact-securing-jal-jeevan-missions-future>"
66,88,,governance,B,verified,'नशा मुक्त उत्तराखंड 2025' का लक्ष्य था. अब 2026 है.,The target was a drug-free Uttarakhand by 2025. It is now 2026.,"सरकार ने 2025 तक 'नशा मुक्त उत्तराखंड' का लक्ष्य रखा था. तीन साल में 6,000 से ज़्यादा तस्कर गिरफ़्तार हुए और लगभग 200 करोड़ रुपये का नशीला पदार्थ बरामद हुआ. ये आँकड़े असली हैं. पर लक्ष्य की तारीख़ निकल चुकी है. सवाल: लक्ष्य पूरा हुआ या नहीं, यह किस पैमाने से नापा गया, और वह आकलन सार्वजनिक कहाँ है?","The government set a target of a drug-free Uttarakhand by 2025. Over three years more than 6,000 traffickers were arrested and around Rs 200 crore of narcotics recovered. Those figures are real. But the deadline has passed. By what measure was the target judged met or missed, and where is that assessment published?",,https://70sawal.github.io/q/88/,"ETV Bharat: Drug-Free Uttarakhand: CM launches state programme; ANTF arrests 6,000 drug smugglers in three years <https://www.etvbharat.com/en/bharat/5th-anniversary-of-drug-free-india-campaign-antf-arrests-6000-drug-smugglers-in-uttarakhand-in-3-years-enn25111804222> | The Pioneer: Substance abuse crisis threatens the future of Uttarakhand youth <https://www.dailypioneer.com/2024/columnists/substance-abuse-crisis-threatens-the-future-of-uttarakhand-youth.html>"
66.1,89,88,governance,B,verified,गिरफ़्तारियाँ बढ़ीं. नौजवानों तक पहुँच घटी या नहीं?,Arrests went up. Did reach among the young go down?,"देहरादून ज़िले के उपनगरीय इलाक़ों में हुए एक अध्ययन के मुताबिक 10 से 24 साल के युवाओं में नशे की लत एक गंभीर समस्या है, और 46.8% लोग 18 साल की उम्र के बाद इसकी शुरुआत करते हैं. गिरफ़्तारियों की संख्या बताती है कि कार्रवाई हुई. वह यह नहीं बताती कि नौजवानों तक नशे की पहुँच घटी या नहीं. राज्य के पास खपत या प्रसार का अपना आँकड़ा क्या है?","A study in suburban Dehradun district found substance abuse a serious problem among 10 to 24 year olds, with 46.8% beginning after the age of 18. Arrest figures show enforcement happened. They do not show whether reach among young people fell. What data does the state hold on prevalence rather than seizures?",,https://70sawal.github.io/q/88/,Journal of Family Medicine and Primary Care: Substance abuse among adolescents and youth (10-24 years) in suburban Dehradun district <https://pmc.ncbi.nlm.nih.gov/articles/PMC12007801/> | The Pioneer: Substance abuse crisis threatens the future of Uttarakhand youth <https://www.dailypioneer.com/2024/columnists/substance-abuse-crisis-threatens-the-future-of-uttarakhand-youth.html>
67,90,,health,C,verified,दूसरे राज्यों में अस्पतालों ने इलाज रोका. यहाँ क्या स्थिति है?,Hospitals stopped treating in other states. What is the position here?,"कई राज्यों में आयुष्मान भारत के तहत बकाया भुगतान न मिलने पर निजी अस्पतालों ने इलाज रोकने की चेतावनी दी या इलाज रोका. हरियाणा में 600 निजी अस्पतालों ने ऐसी घोषणा की. उत्तराखंड के बारे में हमें कोई आँकड़ा नहीं मिला, इसलिए हम कोई दावा नहीं कर रहे. सवाल सीधा है: उत्तराखंड में इस योजना के तहत अस्पतालों का कितना भुगतान बकाया है और कितने समय से?","In several states private hospitals have warned of, or carried out, a halt to treatment under Ayushman Bharat over unpaid dues. In Haryana 600 private hospitals announced such a step. We found no figure for Uttarakhand, so we make no claim about it. The question is simply this: how much is owed to hospitals under the scheme in Uttarakhand, and for how long?",RTI-04,https://70sawal.github.io/q/90/,Deccan Herald: Haryana's 600 private hospitals to suspend Ayushman Bharat over pending reimbursements <https://www.deccanherald.com/india/haryana/haryanas-600-private-hospitals-to-suspend-ayushman-bharat-due-to-pending-reimbursements-3374507>
68,91,,infrastructure,B,verified,रेल लाइन की तारीख़ 2026 से खिसककर 2028,The rail deadline moved from 2026 to 2028,"जनवरी 2025 में मुख्यमंत्री ने कहा था कि ऋषिकेश-कर्णप्रयाग रेल लाइन का पहला चरण 2026 तक पूरा हो जाएगा. नए कार्यक्रम के मुताबिक अब ट्रेन के कर्णप्रयाग पहुँचने का लक्ष्य दिसंबर 2028 है. देरी की वजह सुरंग निर्माण और आपदाएँ बताई गई हैं. सवाल: तारीख़ कितनी बार बदली, और हर बार लागत कितनी बढ़ी?","In January 2025 the Chief Minister said the first phase of the Rishikesh-Karnaprayag rail line would be complete by 2026. Under the revised schedule the train is now expected to reach Karnaprayag by December 2028, with tunnelling and disasters cited as reasons. How many times has the date moved, and by how much did the cost rise each time?",,https://70sawal.github.io/q/91/,Business Standard: First phase of Rishikesh-Karnaprayag rail line to be completed by 2026: Dhami <https://www.business-standard.com/india-news/1st-phase-of-rishikesh-karnaprayag-rail-line-to-be-completed-by-2026-dhami-125011100619_1.html> | Swarajya: RVNL pushes back Rishikesh-Karnaprayag rail deadline to 2028 <https://swarajyamag.com/news-brief/rvnl-pushes-back-rishikeshkarnaprayag-rail-deadline-to-2028-as-201-km-of-tunnelling-work-out-of-213-km-completed>
69,92,,infrastructure,B,verified,"₹38,953 करोड़ की परियोजना, ₹24,645 करोड़ ख़र्च, 65% काम","A Rs 38,953 crore project, Rs 24,645 crore spent, 65% done","ऋषिकेश-कर्णप्रयाग रेल परियोजना की अनुमानित लागत लगभग ₹38,953 करोड़ है, जिसमें से करीब ₹24,645 करोड़ अब तक ख़र्च हो चुके हैं और भौतिक प्रगति 65% बताई गई है. 213 किलोमीटर में से 201 किलोमीटर सुरंग का काम पूरा हो चुका है. सवाल: बचा हुआ 35% काम बची हुई राशि में पूरा होगा, या लागत फिर बढ़ेगी?","The Rishikesh-Karnaprayag rail project is estimated at about Rs 38,953 crore, of which roughly Rs 24,645 crore has been spent, against 65% physical progress. Of 213 km of tunnelling, 201 km is complete. Will the remaining 35% be finished within the remaining funds, or will the cost rise again?",,https://70sawal.github.io/q/92/,"Swarajya: Rishikesh-Karnaprayag rail line: Rs 24,645 crore spent, 65 per cent progress achieved <https://swarajyamag.com/infrastructure/rishikesh-karnaprayag-new-rail-line-project-in-uttarakhand-rs-24645-crore-spent-65-per-cent-progress-achieved>"
70,93,,vaada,A,verified,दोनों बड़ी परियोजनाओं की तारीख़ खिसक चुकी है,Both flagship projects have slipped their dates,"पाँच साल पूरे होने पर सरकार ने अपनी उपलब्धियों में दो बड़ी परियोजनाएँ गिनाईं: चारधाम ऑल-वेदर रोड और ऋषिकेश-कर्णप्रयाग रेल लाइन. चारधाम हाईवे का वादा दिसंबर 2022 तक पूरा करने का था, उसकी सिलक्यारा सुरंग अब 2027 में खुलने की बात है. रेल लाइन का पहला चरण 2026 तक पूरा होना था, अब लक्ष्य दिसंबर 2028 है. जिन दो कामों को सबूत बताया गया, दोनों की तारीख़ खिसक चुकी है. अगली तारीख़ क्या है?",Marking five years in office the government cited two flagship projects as evidence: the Char Dham all-weather road and the Rishikesh-Karnaprayag rail line. The Char Dham highway was promised for December 2022 and its Silkyara tunnel is now expected to open in 2027. The rail line's first phase was to be done by 2026 and the target is now December 2028. Both projects offered as proof have slipped. What is the next date?,,https://70sawal.github.io/q/93/,"ANI: Dhami completes five years in office, credits PM Modi and 'double-engine govt' <https://aninews.in/news/national/politics/uttarakhand-cm-dhami-completes-five-years-in-office-credits-pm-modi-double-engine-govt-for-states-progress20260704091838/> | Swarajya: RVNL pushes back Rishikesh-Karnaprayag rail deadline to 2028 <https://swarajyamag.com/news-brief/rvnl-pushes-back-rishikeshkarnaprayag-rail-deadline-to-2028-as-201-km-of-tunnelling-work-out-of-213-km-completed> | Business Standard: First phase of Rishikesh-Karnaprayag rail line to be completed by 2026: Dhami <https://www.business-standard.com/india-news/1st-phase-of-rishikesh-karnaprayag-rail-line-to-be-completed-by-2026-dhami-125011100619_1.html>"
